structure_id,x,y,z,reference_space_id
1,7800,6550,6600,9
10,8725,2200,6700,9
100,8700,5500,5875,9
1000,10200,5925,7150,9
1002,7950,2850,10250,9
1004,7525,6525,6300,9
1005,8025,3025,9725,9
1006,6625,550,7625,9
1007,11150,2700,8075,9
1008,7850,3450,8075,9
1009,7750,4425,7525,9
101,10625,5750,8475,9
1010,6175,4500,10275,9
1011,7550,2375,9950,9
1014,7700,3975,8375,9
1015,4375,2050,6175,9
1016,1050,5500,5875,9
1017,11900,3075,8725,9
1018,7775,3575,10450,9
1020,7300,3725,7050,9
1021,3925,2600,7075,9
1022,6100,4875,8000,9
1023,7800,3575,10250,9
1025,12600,4075,8200,9
1026,5800,2325,7800,9
1027,8450,2275,9925,9
1029,8325,3950,7450,9
1030,5825,750,7600,9
1031,6625,5325,7725,9
1033,12525,4175,7450,9
1035,6025,3400,10025,9
1037,9250,2150,7750,9
1038,6800,2125,8750,9
1039,13000,5175,6025,9
104,3425,4300,8400,9
1041,11050,5375,9425,9
1044,8300,4425,8075,9
1045,8050,4275,9925,9
1046,7725,1100,7275,9
1047,6675,1750,9125,9
1048,11350,6125,6075,9
1049,10475,5200,8950,9
105,9975,6775,6775,9
1052,9675,4475,7000,9
1054,3650,3700,6350,9
1057,4675,4475,9450,9
1058,6375,4500,10075,9
106,11225,5525,7175,9
1060,8900,4575,5875,9
1061,7900,2875,6350,9
1062,7000,2175,8650,9
1065,11225,5650,6750,9
1066,7700,575,7425,9
1069,11200,7275,6400,9
1070,6725,1900,8900,9
10703,8350,2750,7700,9
10704,8475,3075,8400,9
1073,11925,3075,8725,9
1074,8300,1450,9650,9
1077,6625,5275,6150,9
1080,7975,2825,8700,9
1081,3750,3575,6525,9
1083,6450,3275,6350,9
1084,9450,2925,8275,9
1085,4125,2775,7050,9
1086,6725,1000,7650,9
1089,8775,3850,9025,9
1090,6100,3500,9850,9
1092,6575,4275,7925,9
1093,10275,5675,6400,9
1094,5950,1200,7500,9
1097,6900,5850,6525,9
1098,12775,5675,7000,9
1099,6550,2775,7525,9
1100,8025,3200,6975,9
1101,3475,4300,8375,9
1102,4875,3175,8825,9
1105,6525,6300,8525,9
1106,6300,4525,10425,9
1107,12625,6350,6350,9
1109,5150,5775,6350,9
111,6025,5125,9875,9
1111,6750,1100,7400,9
1113,6200,4250,6200,9
1114,8275,1675,9425,9
1117,9550,5300,6575,9
1120,6250,4600,5825,9
1123,11375,5250,7975,9
1125,2900,3525,6625,9
1126,7500,6225,5875,9
1127,8400,3775,10650,9
1128,6050,1400,7400,9
1129,6850,4900,6500,9
113,5875,950,7550,9
1132,10175,5500,7800,9
1139,6100,6800,7875,9
114,10050,6750,7150,9
115,9600,3775,6000,9
117,5425,7050,6025,9
118,6850,6200,5750,9
119,3725,4950,8350,9
12,8575,5000,5800,9
120,5975,5275,10250,9
121,9000,2200,9025,9
122,9825,6875,6975,9
125,6800,6175,7525,9
126,7600,6675,5875,9
127,6125,4525,6450,9
128,8950,4175,6900,9
129,6075,3425,5875,9
131,7325,5200,9375,9
132,3850,3175,6600,9
133,5525,6175,5775,9
135,11850,6650,7100,9
136,11675,6075,6650,9
138,7375,3425,7200,9
14,7200,4600,6525,9
140,10175,3000,5850,9
141,5800,6400,6125,9
143,12150,6700,7050,9
145,11675,4450,6850,9
146,9600,5475,6625,9
147,10725,4300,6700,9
148,4625,4475,9575,9
149,6175,3775,5775,9
15,5850,4525,6075,9
151,1925,3675,6850,9
153,11850,5025,8025,9
154,11500,5075,5950,9
155,6625,3225,7100,9
156,7575,2700,9575,9
157,6450,6300,5775,9
158,8050,3200,5850,9
159,2650,5325,6925,9
162,10400,4050,6200,9
163,5950,5175,10075,9
164,12550,5400,5750,9
165,8775,5200,5800,9
169,11425,5050,5950,9
17,9075,2375,6800,9
170,7600,3225,8000,9
171,2900,2725,5775,9
173,6250,6925,6250,9
177,11875,5400,5950,9
178,7700,4025,8425,9
180,4475,4475,9650,9
181,6275,5200,5850,9
182305689,5825,1775,8550,9
182305693,5675,1325,8800,9
182305697,5725,1525,8700,9
182305701,5750,1775,8600,9
182305705,5925,1925,8450,9
182305709,6025,2200,8300,9
182305713,6175,2300,8150,9
184,2200,2725,6900,9
186,6975,3250,6175,9
187,4675,4475,9375,9
188,2100,3525,6825,9
189,6550,4800,5800,9
19,5050,2800,5850,9
190,11000,7275,6050,9
194,6575,5975,6975,9
196,1700,3875,6900,9
