#$Id:	"FreeSurferColorLUT.txt,v"	1.70.2.7	8/27/12	17:20:08	nicks	Exp	$
							
#No.	Label-Name:	R	G	B	A		
							
0	Unknown	0	0	0	0		
1	Tuberomammillary-nucleus-ventral-part	255	0	0	0		
2	Primary-somatosensory-area-mouth-layer-6b	0	255	0	0		
3	secondary-fissure	0	0	255	0		
4	Inferior-colliculus	255	255	0	0		
5	Blank	0	255	255	0		
6	internal-capsule	255	0	255	0		
7	Principal-sensory-nucleus-of-the-trigeminal	255	239	213	0		
9	Primary-somatosensory-area-trunk-layer-6a	205	133	63	0		
10	Superior-colliculus-motor-related-intermediate-gray-layer	210	180	140	0		
12	Interfascicular-nucleus-raphe	0	0	128	0		
14	internal-medullary-lamina-of-the-thalamus	46	139	87	0		
15	Parataenial-nucleus	255	228	225	0		
17	Superior-colliculus-motor-related-intermediate-white-layer	221	160	221	0		
19	Induseum-griseum	165	42	42	0		
23	Anterior-amygdalar-area	75	0	130	0		
26	Superior-colliculus-motor-related-deep-gray-layer	255	235	205	0		
27	Intergeniculate-leaflet-of-the-lateral-geniculate-complex	255	228	196	0		
30	Periventricular-hypothalamic-nucleus-anterior-part	188	143	143	0		
33	Primary-visual-area-layer-6a	222	184	135	0		
35	Oculomotor-nucleus	139	69	19	0		
36	Gustatory-areas-layer-1	124	252	0	0		
38	Paraventricular-hypothalamic-nucleus	70	130	180	0		
41	posteromedial-visual-area-layer-2-3	238	232	170	0		
42	Superior-colliculus-motor-related-deep-white-layer	240	255	240	0		
50	Precommissural-nucleus	248	248	255	0		
56	Nucleus-accumbens	255	99	71	0		
59	Intermediodorsal-nucleus-of-the-thalamus	50	205	50	0		
62	medial-longitudinal-fascicle	123	104	238	0		
63	Paraventricular-hypothalamic-nucleus-descending-division	255	165	0	0		
64	Anterodorsal-nucleus	173	216	230	0		
66	Lateral-terminal-nucleus-of-the-accessory-optic-tract	127	255	212	0		
67	Interstitial-nucleus-of-Cajal	255	140	0	0		
68	Frontal-pole-layer-1	143	188	143	0		
72	Anterodorsal-preoptic-nucleus	0	206	209	0		
73	ventricular-systems	0	255	127	0		
74	Lateral-visual-area-layer-6a	128	0	128	0		
78	middle-cerebellar-peduncle	178	34	34	0		
81	lateral-ventricle	100	149	237	0		
83	Inferior-olivary-complex	250	235	215	0		
84	Prelimbic-area-layer-6a	255	245	238	0		
88	Anterior-hypothalamic-nucleus	139	0	139	0		
91	Interposed-nucleus	255	228	181	0		
93	motor-root-of-the-trigeminal-nerve	0	191	255	0		
96	Dorsal-cochlear-nucleus	47	79	79	0		
97	Temporal-association-areas-layer-1	72	61	139	0		
100	Interpeduncular-nucleus	176	224	230	0		
101	Ventral-cochlear-nucleus	255	240	245	0		
104	Agranular-insular-area-dorsal-part	255	215	0	0		
105	Superior-olivary-complex-medial-part	216	191	216	0		
106	Inferior-salivatory-nucleus	119	136	153	0		
113	Primary-somatosensory-area-lower-limb-layer-2-3	240	248	255	0		
114	Superior-olivary-complex-lateral-part	230	230	250	0		
115	Trochlear-nucleus	0	250	154	0		
117	optic-chiasm	64	224	208	0		
118	Periventricular-hypothalamic-nucleus-intermediate-part	153	50	204	0		
120	Agranular-insular-area-posterior-part-layer-1	250	250	210	0		
121	Lateral-visual-area-layer-6b	95	158	160	0		
122	Superior-olivary-complex-periolivary-region	0	128	0	0		
125	optic-tract	176	196	222	0		
126	Periventricular-hypothalamic-nucleus-posterior-part	138	43	226	0		
127	Anteromedial-nucleus	30	144	255	0		
128	Midbrain-reticular-nucleus	240	128	128	0		
129	third-ventricle	152	251	152	0		
131	Lateral-amygdalar-nucleus	255	0	0	0		
132	Prelimbic-area-layer-6b	0	255	0	0		
133	Periventricular-hypothalamic-nucleus-preoptic-part	0	0	255	0		
136	Intermediate-reticular-nucleus	255	0	255	0		
140	cerebral-aqueduct	210	180	140	0		
143	Nucleus-ambiguus-ventral-division	0	139	139	0		
145	fourth-ventricle	255	228	225	0		
146	Pontine-reticular-nucleus	106	90	205	0		
147	Locus-ceruleus	221	160	221	0		
148	Gustatory-areas-layer-4	233	150	122	0		
149	Paraventricular-nucleus-of-the-thalamus	165	42	42	0		
153	lateral-recess	75	0	130	0		
155	Lateral-dorsal-nucleus-of-thalamus	60	179	113	0		
156	Dorsal-auditory-area-layer-6a	255	235	205	0		
158	posterior-commissure	218	165	32	0		
159	Anterior-olfactory-nucleus	0	128	128	0		
162	Laterodorsal-tegmental-nucleus	255	218	185	0		
163	Agranular-insular-area-posterior-part-layer-2-3	222	184	135	0		
164	central-canal-spinal-cord-medulla	127	255	0	0		
169	Nucleus-prepositus	0	100	0	0		
170	Dorsal-part-of-the-lateral-geniculate-complex	238	130	238	0		
171	Prelimbic-area-layer-1	238	232	170	0		
173	Retrochiasmatic-area	245	222	179	0		
177	Nucleus-of-Roller	25	25	112	0		
178	Ventral-part-of-the-lateral-geniculate-complex	112	128	144	0		
180	Gustatory-areas-layer-2-3	248	248	255	0		
181	Nucleus-of-reunions	245	255	250	0		
186	Lateral-habenula	255	99	71	0		
187	Gustatory-areas-layer-5	250	240	230	0		
188	Accessory-olfactory-bulb-glomerular-layer	128	0	0	0		
189	Rhomboid-nucleus	50	205	50	0		
190	pyramid	244	164	96	0		
194	Lateral-hypothalamic-area	173	216	230	0		
196	Accessory-olfactory-bulb-granular-layer	127	255	212	0		
197	Rostral-linear-nucleus-raphe	255	140	0	0		
201	Primary-somatosensory-area-barrel-field-layer-2-3	255	250	240	0		
202	Medial-vestibular-nucleus	0	206	209	0		
