id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
1,424,Right Tuberomammillary nucleus ventral part,RTMv,,1,3,8690,557,8,1,710,/997/8/343/1129/1097/467/331/557/1/,FF4C3E,,,f,711,3678649713,734881840,Tuberomammillary nucleus ventral part
2,990,Right Primary somatosensory area mouth layer 6b,RSSp-m6b,,1,3,8690,345,9,1,68,/997/8/567/688/695/315/453/322/345/2/,188064,,,f,69,1425070870,734881840,Primary somatosensory area mouth layer 6b
3,707,Right secondary fissure,Rsec,,1,3,8690,1040,3,1,1223,/997/1024/1040/3/,AAAAAA,,,f,1224,1603026106,734881840,secondary fissure
4,141,Right Inferior colliculus,RIC,,1,3,8690,339,5,1,746,/997/8/343/313/339/4/,FF7AFF,,,f,747,3456805092,734881840,Inferior colliculus
6,566,Right internal capsule,Rint,,1,3,8690,784,4,1,1111,/997/1009/983/784/6/,CCCCCC,,,f,1112,2936038281,734881840,internal capsule
7,283,Right Principal sensory nucleus of the trigeminal,RPSV,,1,3,8690,1132,6,1,808,/997/8/343/1065/771/1132/7/,FFAE6F,,,f,809,977401861,734881840,Principal sensory nucleus of the trigeminal
8,0,Right Basic cell groups and regions,Rgrey,,1,3,8690,997,1,1,1,/997/8/,BFDAE3,,,f,2,2244697386,734881840,Basic cell groups and regions
9,991,Right Primary somatosensory area trunk layer 6a,RSSp-tr6a,,1,3,8690,361,9,1,81,/997/8/567/688/695/315/453/322/361/9/,188064,,,f,82,1364764776,734881840,Primary somatosensory area trunk layer 6a
10,425,Right Superior colliculus motor related intermediate gray layer,RSCig,,1,3,8690,294,6,1,766,/997/8/343/313/323/294/10/,FF90FF,,,f,767,4208210812,734881840,Superior colliculus motor related intermediate gray layer
11,708,Right posterolateral fissure,Rplf,,1,3,8690,1040,3,1,1224,/997/1024/1040/11/,AAAAAA,,,f,1225,3968698314,734881840,posterolateral fissure
12,142,Right Interfascicular nucleus raphe,RIF,,1,3,8690,165,6,1,796,/997/8/343/313/348/165/12/,FFA6FF,,,f,797,1057138099,734881840,Interfascicular nucleus raphe
14,567,Right internal medullary lamina of the thalamus,Rim,,1,3,8690,896,4,1,1123,/997/1009/983/896/14/,CCCCCC,,,f,1124,1272383137,734881840,internal medullary lamina of the thalamus
15,284,Right Parataenial nucleus,RPT,,1,3,8690,571,7,1,636,/997/8/343/1129/549/856/571/15/,FF909F,,,f,637,1224128658,734881840,Parataenial nucleus
16,1,Right Layer 6b isocortex,R6b,,1,3,8690,703,5,1,506,/997/8/567/688/703/16/,8ADA87,,,f,507,2894025098,734881840,Layer 6b isocortex
17,426,Right Superior colliculus motor related intermediate white layer,RSCiw,,1,3,8690,294,6,1,765,/997/8/343/313/323/294/17/,FF90FF,,,f,766,2563539216,734881840,Superior colliculus motor related intermediate white layer
18,709,Right nodular fissure,Rnf,,1,3,8690,1040,3,1,1225,/997/1024/1040/18/,AAAAAA,,,f,1226,3778172686,734881840,nodular fissure
19,143,Right Induseum griseum,RIG,,1,3,8690,1080,7,1,452,/997/8/567/688/695/1089/1080/19/,7ED04B,,,f,453,2117099319,734881840,Induseum griseum
20,992,Right Entorhinal area lateral part layer 2,RENTl2,,1,3,8690,918,9,1,457,/997/8/567/688/695/1089/822/909/918/20/,32B825,,,f,458,4209621032,734881840,Entorhinal area lateral part layer 2
21,568,Right lateral olfactory tract general,Rlotg,,1,3,8690,840,4,1,1019,/997/1009/967/840/21/,CCCCCC,,,f,1020,2601931165,734881840,lateral olfactory tract general
22,285,Right Posterior parietal association areas,RPTLp,,1,3,8690,315,6,1,300,/997/8/567/688/695/315/22/,009FAC,,,f,301,4041380584,734881840,Posterior parietal association areas
23,2,Right Anterior amygdalar area,RAAA,,1,3,8690,278,6,1,542,/997/8/567/623/477/278/23/,80C0E2,,,f,543,4252873038,734881840,Anterior amygdalar area
25,710,Right simple fissure,Rsif,,1,3,8690,1040,3,1,1226,/997/1024/1040/25/,AAAAAA,,,f,1227,3504067713,734881840,simple fissure
26,427,Right Superior colliculus motor related deep gray layer,RSCdg,,1,3,8690,294,6,1,763,/997/8/343/313/323/294/26/,FF90FF,,,f,764,2056102031,734881840,Superior colliculus motor related deep gray layer
27,144,Right Intergeniculate leaflet of the lateral geniculate complex,RIGL,,1,3,8690,1014,7,1,646,/997/8/343/1129/549/856/1014/27/,FF909F,,,f,647,1900856090,734881840,Intergeniculate leaflet of the lateral geniculate complex
28,993,Right Entorhinal area lateral part layer 6a,RENTl6a,,1,3,8690,918,9,1,466,/997/8/567/688/695/1089/822/909/918/28/,32B825,,,f,467,3113499141,734881840,Entorhinal area lateral part layer 6a
29,569,Right lateral spinothalamic tract,Rsttl,,1,3,8690,871,4,1,1073,/997/1009/967/871/29/,CCCCCC,,,f,1074,1590160233,734881840,lateral spinothalamic tract
30,286,Right Periventricular hypothalamic nucleus anterior part,RPVa,,1,3,8690,157,6,1,671,/997/8/343/1129/1097/157/30/,FF5D50,,,f,672,4028794868,734881840,Periventricular hypothalamic nucleus anterior part
31,3,Right Anterior cingulate area,RACA,,1,3,8690,315,6,1,203,/997/8/567/688/695/315/31/,40A666,,,f,204,758743580,734881840,Anterior cingulate area
33,428,Right Primary visual area layer 6a,RVISp6a,,1,3,8690,385,8,1,173,/997/8/567/688/695/315/669/385/33/,08858C,,,f,174,2158341533,734881840,Primary visual area layer 6a
34,711,Right intercrural fissure,Ricf,,1,3,8690,1040,3,1,1227,/997/1024/1040/34/,AAAAAA,,,f,1228,1415991612,734881840,intercrural fissure
